c0=-58.554440, c1=-32.244713, c2=253.905350, c3=102.774384
c0=-277.370087, c1=179.486328, c2=406.129669, c3=36.834480
c0=498.927521, c1=384.171295, c2=55.024265, c3=467.062103
c0=-222.621231, c1=-404.678467, c2=-294.075073, c3=398.761322
c0=-121.427628, c1=107.023773, c2=-229.923187, c3=191.243057
c0=165.354675, c1=324.520935, c2=-70.463509, c3=-369.877472
c0=-56.465836, c1=32.621563, c2=-420.481415, c3=61.759712
c0=222.853775, c1=242.159851, c2=-270.029907, c3=-5.714059
c0=498.776367, c1=-49.627365, c2=379.484222, c3=-76.040062
c0=282.860229, c1=163.968445, c2=36.059917, c3=360.648468
c0=67.784073, c1=-121.847900, c2=-307.477539, c3=297.993774
c0=-338.739746, c1=384.037201, c2=-249.683655, c3=83.933708
c0=447.343994, c1=-399.750122, c2=-92.576889, c3=22.146881
c0=226.210709, c1=309.429108, c2=59.031902, c3=-45.599491
c0=6.080031, c1=-479.756897, c2=210.938400, c3=-112.601814
c0=286.591522, c1=-269.744934, c2=362.811676, c3=-179.003296
c0=-431.863129, c1=440.363892, c2=15.305161, c3=-244.488602
c0=345.126404, c1=147.905655, c2=165.386505, c3=-313.811371
c0=127.666115, c1=360.745300, c2=-181.527222, c3=-378.627808
c0=-96.071777, c1=66.350937, c2=-33.856274, c3=51.414429
c0=6.921232, c1=84.712982, c2=36.861717, c3=-154.623688
c0=289.725189, c1=296.139832, c2=190.832855, c3=-219.042542
c0=68.787994, c1=4.937232, c2=339.886322, c3=213.222321
c0=349.879028, c1=-282.573273, c2=-5.150855, c3=147.341431
c0=131.102798, c1=-70.669563, c2=146.490692, c3=-418.612061
c0=408.842621, c1=136.868591, c2=294.404572, c3=12.542844
c0=189.429169, c1=-152.749359, c2=448.269714, c3=-53.679764
c0=474.958527, c1=64.128876, c2=106.607910, c3=384.107239
c0=253.344711, c1=270.497437, c2=-243.492813, c3=316.042542
c0=347.354462, c1=280.009583, c2=-183.077011, c3=102.337837
c0=131.443497, c1=-7.289142, c2=-29.014021, c3=-461.078613
c0=414.777283, c1=205.057983, c2=-374.598145, c3=474.915436
c0=198.028687, c1=-81.723511, c2=281.722778, c3=-89.095894
c0=473.416565, c1=-375.842255, c2=-72.579208, c3=-159.958603
c0=-246.028748, c1=336.914124, c2=81.769287, c3=273.644104
c0=-461.696350, c1=-450.660706, c2=-263.176666, c3=210.524384
c0=320.926117, c1=263.104980, c2=391.623505, c3=145.827301
c0=93.228760, c1=465.015594, c2=-462.817017, c3=-427.353363
c0=200.702972, c1=-15.024215, c2=107.117477, c3=370.228455
